,ids
7592,26471051
7593,22309524
7594,40659610
7595,14871197
7596,23358124
7597,21949103
7598,29059759
7599,34335412
7600,28207796
7601,14838457
7602,35351226
7603,15329980
7604,39414465
7605,37710531
7606,32893636
7607,3828422
7608,25455307
7609,21457612
7610,15395539
7611,26274520
7612,26634970
7613,17459932
7614,20900572
7615,20900576
7616,28207846
7617,23685867
7618,21424882
7619,24242931
7620,38103830
7621,39119644
7622,40397617
7623,36236084
7624,36170555
7625,24243011
7626,27814729
7627,8743754
7628,38103887
7629,7760721
7630,28470100
7631,40758108
7632,28437341
7633,26897256
7634,37153641
7635,33188712
7636,9825135
7637,8153968
7638,40528752
7639,38628229
7640,35941253
7641,34401159
7642,39054220
7643,584590
7644,9595801
7645,32500635
7646,32271260
7647,36596641
7648,35908516
7649,28175274
7650,32271285
7651,34139061
7652,29518776
7653,22080443
7654,39611324
7655,26635199
7656,35318732
7657,28339152
7658,20704211
7659,14805972
7660,6515667
7661,26700761
7662,26569690
7663,39676893
7664,10709981
7665,25324512
7666,40037349
7667,19000293
7668,29191144
7669,9792499
7670,28437505
7671,27290633
7672,9759758
7673,34401295
7674,38956048
7675,23358482
7676,18377747
7677,36596760
7678,15789080
7679,19754012
7680,18345004
7681,32009265
7682,35417142
7683,36236343
7684,37841977
7685,29027386
7686,34565182
7687,31681599
7688,33877058
7689,29027397
7690,21294162
7691,19557461
7692,289884
7693,5074013
7694,9661539
7695,31288423
7696,18345065
7697,35908714
7698,27946093
7699,9759854
7700,25521263
7701,41020530
7702,26504307
7703,11332724
7704,36236409
7705,22047867
7706,17820800
7707,39251077
7708,25160844
7709,34368654
7710,20933786
7711,16346266
7712,37088421
7713,30043302
7714,39447739
7715,40758460
7716,32304317
7717,26635454
7718,39840960
7719,24308930
7720,34532548
7721,40365253
7722,14085322
7723,30010581
7724,26897622
7725,3271895
7726,20409562
7727,39611612
7728,14806237
7729,38431966
7730,26832093
7731,18509024
7732,37285089
7733,32959714
7734,8383720
7735,18509034
7736,38202607
7737,17460467
7738,33942774
7739,34532603
7740,9235710
7741,21425414
7742,19131659
7743,27290902
7744,22179107
7745,7728429
7746,38202671
7747,28863800
7748,13659448
7749,40856889
7750,322873
7751,18378046
7752,23293249
7753,24931653
7754,30469447
7755,126280
7756,40004936
7757,40758603
7758,33287500
7759,16739659
7760,40660305
7761,20802899
7762,37940568
7763,35614041
7764,28667226
7765,38628699
7766,33090907
7767,30010719
7768,14183776
7769,19983713
7770,32304495
7771,39677298
7772,38464885
7773,20573559
7774,2583929
7775,5205377
7776,19295617
7777,27979141
7778,25521541
7779,22736266
7780,6811019
7781,17329552
7782,40201619
7783,26635667
7784,36236696
7785,23489948
7786,19328417
7787,35351970
7788,40299939
7789,18836903
7790,2289076
7791,40398261
7792,29191606
7793,27749817
7794,35417538
7795,23588293
7796,36040140
7797,1502674
7798,25226706
7799,30535124
7800,20016599
7801,39841243
7802,14085597
7803,29093342
7804,11693541
7805,39906790
7806,25587176
7807,14216683
7808,1502700
7809,32763376
7810,29093360
7811,4156913
7812,16707059
7813,19230196
7814,36630007
7815,20901369
7816,24833533
7817,37056001
7818,18214402
7819,7204355
7820,32304644
7821,29093384
7822,25456143
7823,38923791
7824,40660499
7825,39972372
7826,39480857
7827,39775770
7828,39415323
7829,29093404
7830,7564825
7831,14577181
7832,22998560
7833,12021281
7834,27553317
7835,40136229
7836,37711430
7837,34598471
7838,12774987
7839,39185999
7840,14085728
7841,34303597
7842,36236909
7843,4681334
7844,24735356
7845,35581564
7846,32304769
7847,585353
7848,29421194
7849,26635915
7850,20868748
7851,585356
7852,37056140
7853,7630479
7854,31452819
7855,25620117
7856,15658650
7857,34664090
7858,6975132
7859,40267422
7860,36138659
7861,3731110
7862,39317162
7863,16674476
7864,33320622
7865,36171447
7866,6516410
7867,34533052
7868,22769340
7869,26111681
7870,36236996
7871,37252812
7872,21163725
7873,11923150
7874,38661842
7875,4058835
7876,37056214
7877,28045018
7878,24243936
7879,3534562
7880,27553507
7881,8548067
7882,18214631
7883,4288256
7884,29519623
7885,25292554
7886,4157196
7887,13463310
7888,23850772
7889,26570518
7890,29650711
7891,37252888
7892,29847326
7893,37252894
7894,9236259
7895,15527715
7896,34336556
7897,28864302
7898,24801073
7899,27488052
7900,20737848
7901,13332282
7902,18444090
7903,37973827
7904,21983043
7905,40234823
7906,31158088
7907,29519691
7908,26898273
7909,29880162
7910,14577510
7911,36171622
7912,40169324
7913,25882482
7914,20639602
7915,33320826
7916,38334331
7917,39055228
7918,24866687
7919,9170815
7920,11431811
7921,38956935
7922,25882504
7923,38104970
7924,14806923
7925,25882509
7926,11267982
7927,3796879
7928,36597646
7929,25882513
7930,40365971
7931,34533277
7932,23883681
7933,40234915
7934,6713251
7935,34434981
7936,18345901
7937,32305069
7938,7368625
7939,36892594
7940,6057908
7941,14741430
7942,6975423
7943,34467786
7944,22081488
7945,37711825
7946,27062229
7947,30404573
7948,38825949
7949,22999010
7950,39088110
7951,39415794
7952,36335605
7953,40464375
7954,29650949
7955,23687181
7956,10874898
7957,22310932
7958,18837527
7959,28667931
7960,38465572
7961,32305192
7962,40529964
7963,1732652
7964,38465597
7965,36565054
7966,32501823
7967,40267839
7968,15659073
7969,40661064
7970,28749
7971,13529171
7972,38137941
7973,35844181
7974,9236571
7975,2453598
7976,38334567
7977,40398951
7978,18182250
7979,37941355
7980,20672624
7981,30503025
7982,28962930
7983,13496433
7984,17363063
7985,25292921
7986,28635257
7987,39415933
7988,37286019
7989,15036548
7990,27586692
7991,39186567
7992,40530056
7993,192652
7994,15528080
7995,39481496
7996,36139161
7997,26079386
7998,37253277
7999,35516578
8000,29061285
8001,12808357
8002,2715815
8003,23916714
8004,21262506
8005,39481516
8006,37417133
8007,38465710
8008,21721261
8009,37023923
8010,8384692
8011,9695421
8012,27553988
8013,37187781
8014,11333831
8015,38138059
8016,258253
8017,28340430
8018,21295315
8019,28405971
8020,22278355
8021,35418328
8022,39284960
8023,33845474
8024,39579890
8025,9007351
8026,38465785
8027,7827712
8028,25882885
8029,28340486
8030,33091850
8031,27783440
8032,21066001
8033,14807315
8034,35582238
8035,19263774
8036,39612704
8037,37089579
8038,21623088
8039,38039863
8040,39055673
8041,7598403
8042,39842116
8043,18936133
8044,422214
8045,38924616
8046,38957384
8047,35942729
8048,40202571
8049,39088461
8050,21524818
8051,35844434
8052,11661652
8053,32502105
8054,31224166
8055,38826350
8056,38924654
8057,35680628
8058,19984762
8059,19820923
8060,4092283
8061,36761978
8062,40038784
8063,14807426
8064,40202629
8065,13463943
8066,36729228
8067,12874125
8068,27488657
8069,2519442
8070,38924697
8071,9269658
8072,9793947
8073,33190303
8074,24801700
8075,28963240
8076,31715757
8077,40825267
8078,19526068
8079,40137148
8080,35353022
8081,32567744
8082,36663746
8083,20869579
8084,36270543
8085,36630999
8086,19952090
8087,37089756
8088,651742
8089,33616352
8090,14774756
8091,2879976
8092,38760938
8093,12022257
8094,5796340
8095,33190392
8096,38826489
8097,15659526
8098,31617545
8099,3797518
8100,32338455
8101,29880855
8102,8581657
8103,12710432
8104,8614442
8105,16052779
8106,39252539
8107,10547772
8108,27193919
8109,36336191
8110,40825412
8111,39645766
8112,27226695
8113,9237067
8114,5861971
8115,25915987
8116,11760212
8117,33845847
8118,27980378
8119,39842395
8120,39809637
8121,14840423
8122,23294569
8123,32698986
8124,37810794
8125,28078703
8126,37778031
8127,40923761
8128,6845044
8129,35844724
8130,35680886
8131,37155446
8132,8090232
8133,5632638
8134,6156931
8135,22999687
8136,13857415
8137,38761097
8138,27554444
8139,37188240
8140,36139665
8141,32240275
8142,15233684
8143,37778070
8144,15954582
8145,8188570
8146,33682074
8147,34861726
8148,488097
8149,40825506
8150,24244899
8151,30536360
8152,30044842
8153,25555626
8154,24408754
8155,21426873
8156,20476609
8157,38236872
8158,30175946
8159,37941974
8160,29029082
8161,38531803
8162,35418844
8163,36238050
8164,39777001
8165,36631273
8166,38433515
8167,36139754
8168,32568041
8169,32862958
8170,8286958
8171,10515185
8172,7729906
8173,37778165
8174,3666681
8175,14578426
8176,33682173
8177,34337538
8178,38466307
8179,18412293
8180,34173702
8181,40825609
8182,13824783
8183,25129756
8184,28603167
8185,32666400
8186,30569247
8187,2585378
8188,29061922
8189,34599722
8190,30569260
8191,38597423
8192,25785138
8193,37155635
8194,20640570
8195,39220029
8196,2093894
8197,39842636
8198,40825681
8199,40825689
8200,6222692
8201,27784037
8202,37974900
8203,39383925
8204,36631415
8205,6747002
8206,39449468
8207,22868861
8208,40366977
8209,979841
8210,25293703
8211,39646102
8212,37778328
8213,40825761
8214,14185380
8215,24736677
8216,24310693
8217,22770609
8218,40235958
8219,16085942
8220,33092535
8221,11924409
8222,17920957
8223,36631488
8224,37286850
8225,7730115
8226,38958022
8227,15266764
8228,28079060
8229,979926
8230,15496152
8231,25228248
8232,7304165
8233,979942
8234,14873575
8235,32502771
8236,39056373
8237,39449591
8238,37057538
8239,31192071
8240,40334345
8241,39547914
8242,36762637
8243,40137749
8244,37057560
8245,37975073
8246,37123109
8247,40137767
8248,18609191
8249,25261101
8250,28472377
8251,35910713
8252,37155897
8253,27849785
8254,25064515
8255,31618117
8256,27489353
8257,28079181
8258,24376400
8259,21623896
8260,22770779
8261,37811297
8262,25949285
8263,35353705
8264,21230704
8265,33453179
8266,11236476
8267,36762753
8268,12448898
8269,25785477
8270,2782345
8271,5862540
8272,19952780
8273,40596645
8274,27751590
8275,32896171
8276,28832946
8277,12022963
8278,25916599
8279,20378811
8280,38958268
8281,32076991
8282,37156035
8283,32240836
8284,34043080
8285,9237713
8286,32208083
8287,15987927
