,ids
4556,19840767
4557,4112130
4558,40845061
4559,39075592
4560,25870091
4561,38158096
4562,29540127
4563,33636138
4564,802613
4565,11419446
4566,12762936
4567,35602234
4568,40288059
4569,19087168
4570,36912962
4571,9453381
4572,18857798
4573,36880199
4574,39075656
4575,39862089
4576,38059849
4577,40681290
4578,31211340
4579,20692810
4580,34946904
4581,35831641
4582,38354793
4583,22986604
4584,4243309
4585,40681325
4586,40451951
4587,27508596
4588,9977717
4589,24625012
4590,17088380
4591,27606914
4592,39075715
4593,8470408
4594,12271504
4595,25018257
4596,16662423
4597,10862491
4598,11648924
4599,29704097
4600,40452007
4601,17907626
4602,38322095
4603,6078393
4604,13189052
4605,26296254
4606,26165183
4607,15744964
4608,37371845
4609,34095049
4610,5095370
4611,37797841
4612,2473938
4613,38420433
4614,34095064
4615,35635161
4616,15122395
4617,23412701
4618,20332510
4619,23543773
4620,37502945
4621,35373029
4622,26394598
4623,30556142
4624,19087342
4625,25837557
4626,38617081
4627,39370747
4628,34619387
4629,36552703
4630,39370754
4631,35635202
4632,38354955
4633,21610508
4634,40222735
4635,31637525
4636,34816031
4637,38387744
4638,14499881
4639,23773227
4640,27607085
4641,17514543
4642,30326833
4643,30031925
4644,38912057
4645,37863484
4646,40484934
4647,39698507
4648,2670669
4649,23838800
4650,15876178
4651,23019605
4652,40452182
4653,13713501
4654,33275998
4655,12795999
4656,22397026
4657,573540
4658,37568619
4659,7094381
4660,39633009
4661,34357362
4662,37208183
4663,19054715
4664,13746300
4665,37404805
4666,39174279
4667,27312267
4668,27607180
4669,40419469
4670,24625296
4671,37503122
4672,28819602
4673,38912148
4674,37994646
4675,23609502
4676,40452261
4677,34914483
4678,7127223
4679,8011960
4680,38322368
4681,31441091
4682,39502020
4683,21283014
4684,27279571
4685,33800408
4686,16040153
4687,34390242
4688,23806189
4689,33243373
4690,36454639
4691,27607283
4692,23052558
4693,40780053
4694,34750745
4695,6045978
4696,33374491
4697,38813983
4698,26034464
4699,28033317
4700,33079589
4701,38846761
4702,38977842
4703,40157492
4704,31932725
4705,37142836
4706,5882164
4707,25968948
4708,32817465
4709,20955452
4710,41042258
4711,19120473
4712,13156698
4713,7946592
4714,28492128
4715,40255845
4716,17514853
4717,22921577
4718,38977900
4719,18596206
4720,20857204
4721,3293564
4722,38650238
4723,1917311
4724,39174531
4725,24756612
4726,22430093
4727,34685327
4728,24265104
4729,15417755
4730,30818719
4731,15647142
4732,40976808
4733,10863022
4734,39895471
4735,30556593
4736,14631349
4737,1229238
4738,35832251
4739,35570109
4740,40812990
4741,4243905
4742,30687684
4743,7389646
4744,40059343
4745,1229267
4746,23249366
4747,11616727
4748,28033501
4749,27673058
4750,13451748
4751,5980645
4752,24101356
4753,28918274
4754,18432523
4755,38617613
4756,30818831
4757,16663058
4758,29311507
4759,8339990
4760,15024671
4761,38126115
4762,17383973
4763,16925222
4764,14041642
4765,39928372
4766,39109174
4767,32424508
4768,22430282
4769,17482315
4770,30130765
4771,29704782
4772,29901389
4773,21545552
4774,14107217
4775,20267601
4776,38486613
4777,7291481
4778,17482333
4779,31834718
4780,30687839
4781,34390622
4782,38584932
4783,28099181
